threshold,w_CAI,w_GC,w_Kozak,w_TIS,w_TTS,balanced_accuracy
0.7,0.04,0.02,0.02,0.4,0.45,0.9125444533970819
0.7,0.04,0.03,0.04,0.4,0.45,0.9125431940540278
0.5999999999999999,0.08,0.01,0.04,0.4,0.4,0.9125406753679199
0.6499999999999999,0.06,0.03,0.04,0.45,0.4,0.9125286712453473
0.6499999999999999,0.04,0.02,0.02,0.5,0.4,0.912521631840584
0.6499999999999999,0.08,0.03,0.04,0.45,0.4,0.9125195571536295
0.6499999999999999,0.06,0.02,0.02,0.45,0.4,0.9125067376871567
0.5999999999999999,0.02,0.02,0.04,0.4,0.45,0.9125062936880031
0.6499999999999999,0.06,0.01,0.04,0.45,0.45,0.912501328970194
0.7,0.06,0.02,0.04,0.5,0.4,0.9125011432978207
0.7,0.02,0.03,0.04,0.5,0.4,0.9124996982823933
0.7,0.08,0.01,0.04,0.5,0.4,0.912497623595439
0.6499999999999999,0.02,0.01,0.06,0.4,0.45,0.9124949192369576
0.6499999999999999,0.06,0.01,0.04,0.4,0.4,0.9124932885491569
0.6499999999999999,0.04,0.02,0.02,0.4,0.4,0.9124924732052565
0.7,0.02,0.03,0.06,0.4,0.45,0.9124876941598208
0.7,0.02,0.03,0.06,0.4,0.5,0.9124808404274307
0.6499999999999999,0.02,0.01,0.04,0.45,0.4,0.9124800250835303
0.7,0.06,0.03,0.02,0.4,0.45,0.9124763197087753
0.7,0.04,0.02,0.02,0.5,0.4,0.9124756900372484
0.6499999999999999,0.06,0.01,0.04,0.4,0.5,0.9124746163665676
0.6499999999999999,0.04,0.02,0.04,0.4,0.5,0.9124746163665676
0.6499999999999999,0.06,0.02,0.02,0.4,0.4,0.9124601662122941
0.7,0.04,0.01,0.06,0.4,0.45,0.9124595365407671
0.7,0.06,0.01,0.04,0.45,0.5,0.9124520531368501
0.5999999999999999,0.02,0.03,0.04,0.4,0.4,0.9124414940297048
0.7,0.08,0.01,0.02,0.5,0.4,0.9124398633419042
0.7,0.06,0.01,0.02,0.45,0.4,0.9124382326541034
0.7,0.04,0.03,0.02,0.4,0.45,0.9124340832801947
0.6499999999999999,0.06,0.02,0.04,0.45,0.4,0.9124294899071324
0.7,0.04,0.03,0.04,0.45,0.5,0.9124288602356053
0.6499999999999999,0.08,0.01,0.04,0.45,0.45,0.9124141517545514
0.7,0.02,0.03,0.04,0.45,0.5,0.9124042223189333
0.7,0.06,0.03,0.04,0.45,0.45,0.9123907731809334
